Gene_ID	Gene_Name	Sample_1	Sample_10	Sample_11	Sample_12	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9
ENSG00000175106.17	TVP23C	3.673291	6.68918	6.244433	6.67048	3.800972	3.739264	6.253134	5.87965	5.414111	5.163724	5.155053	5.060532
ENSG00000175110.14	MRPS22	48.747831	26.993812	23.550899	24.868113	43.519967	50.556814	29.030103	28.414804	30.980854	40.330024	45.84663	42.215552
ENSG00000175115.13	PACS1	7.303921	8.103263	9.830002	9.491424	6.450343	7.57386	7.379824	7.683131	7.980686	9.444434	11.397558	10.247171
ENSG00000175121.12	WFDC5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175130.7	MARCKSL1	86.137099	49.862754	46.463135	49.567947	80.41633	79.025791	49.586043	50.627927	48.316086	63.280388	72.819052	65.708273
ENSG00000175137.11	SH3BP5L	5.676211	5.397733	5.136639	5.056078	6.197387	5.956586	5.977371	6.24169	5.196464	6.897331	5.511146	6.192373
ENSG00000175143.5	OR2T1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175147.13	TMEM51-AS1	0.035877	0.14417	0.079044	0.063579	0.043619	0	0.026221	0	0.060571	0.06801	0.101769	0.115684
ENSG00000175155.11	YPEL2	0.736376	2.158085	3.537231	2.504794	0.742019	0.798468	1.180427	1.204297	1.220691	3.463157	6.449033	4.808868
ENSG00000175161.14	CADM2	1.552898	2.725091	2.924814	2.905448	1.236511	1.257734	2.243229	2.804265	2.262627	2.245739	2.495171	3.960478
ENSG00000175164.16	ABO	0	0.006046	0	0	0	0	0	0	0	0	0	0.005385
ENSG00000175166.17	PSMD2	213.426543	97.739539	88.839376	105.081976	228.927469	225.382435	111.60027	112.80862	108.961536	198.921413	140.108176	167.684008
ENSG00000175170.16	FAM182B	0.76906	2.949295	3.304554	2.386722	0.461204	0.722653	1.617832	2.234588	2.547058	0.823209	0.638533	1.281688
ENSG00000175175.6	PPM1E	0.700464	3.066898	3.705604	2.973152	0.698527	0.790662	2.409466	2.374062	2.311315	1.073123	1.00226	1.112623
ENSG00000175182.15	FAM131A	6.30553	3.227422	3.926278	3.404077	7.102755	7.207145	2.347176	2.790144	2.357098	8.373215	9.164454	8.561897
ENSG00000175183.10	CSRP2	4.045862	8.613869	9.993005	8.43261	3.869761	3.900069	6.680291	7.993626	6.286574	4.217102	3.702148	3.867561
ENSG00000175189.4	INHBC	0.029395	0.025041	0.014265	0.048013	0	0.017826	0.030358	0	0.069012	0	0.049002	0
ENSG00000175193.14	PARL	39.345686	17.299208	17.102833	20.012422	44.762685	38.545502	23.067162	22.398969	21.333702	41.884646	27.714362	39.305159
ENSG00000175197.13	DDIT3	12.199214	7.870055	6.014126	7.551183	11.414318	11.077572	8.035096	8.890785	8.617902	16.419492	44.537666	21.548927
ENSG00000175198.17	PCCA	5.138272	5.03613	6.909718	5.773736	4.540947	4.821298	5.411439	5.011251	5.000916	7.125726	7.986691	7.147765
ENSG00000175202.6	HIGD2B	0	0	0	0	0	0.031711	0	0.033904	0	0	0.066513	0.043747
ENSG00000175203.17	DCTN2	25.255451	33.934234	36.078614	35.729976	26.061588	26.209532	29.071601	31.890285	31.855706	26.316182	27.09269	24.322579
ENSG00000175206.11	NPPA	0.187982	0.076987	0.141063	0	0.109431	0.242016	0.30144	0	0.101799	0.253237	0.090321	0.120007
ENSG00000175213.3	ZNF408	2.150294	2.635481	1.993969	2.210122	1.972109	2.352132	1.934835	2.205406	2.487884	2.318206	2.726942	2.367977
ENSG00000175215.11	CTDSP2	14.436047	20.695108	24.585237	22.448658	14.258925	13.129533	20.190232	19.66298	18.918662	19.212471	23.95975	22.046814
ENSG00000175216.15	CKAP5	46.382969	47.521837	51.177575	53.378561	45.413246	51.362962	50.789506	49.962376	53.452401	47.721895	48.956543	47.275001
ENSG00000175220.12	ARHGAP1	9.897825	12.488067	12.427617	12.117224	9.640788	10.112684	10.301319	12.610568	12.7886	9.769333	9.70873	9.043095
ENSG00000175221.16	MED16	6.867891	6.97432	8.007214	7.971373	7.030102	6.090841	7.461956	8.29369	7.623345	6.674884	6.581475	7.748753
ENSG00000175224.17	ATG13	13.68249	19.727551	20.423386	17.596769	16.132576	14.196472	17.204264	19.895008	15.097934	20.420622	25.877754	24.096272
ENSG00000175229.7	GAL3ST3	0	0	0	0.065661	0	0.080822	0	0	0.011065	0	0	0.01188
ENSG00000175262.15	C1orf127	0	0	0	0	0	0	0	0.011156	0	0	0	0
ENSG00000175264.8	CHST1	0.112968	0.39649	0.602123	0.347648	0.1324	0.043353	0.148858	0.183717	0.166555	0.212087	0.369045	0.171724
ENSG00000175265.19	GOLGA8A	4.442904	7.215988	6.603668	6.366243	4.636445	4.109135	5.366	6.472547	6.195924	5.033528	4.984655	4.820328
ENSG00000175267.15	VWA3A	0	0.008299	0	0.012418	0.017792	0.00422	0	0.022762	0	0	0.011137	0.011521
ENSG00000175274.19	TP53I11	4.430433	10.400544	12.73266	11.102462	4.516841	3.129748	7.8	8.100975	7.672932	5.453488	6.088866	5.629713
ENSG00000175279.22	CENPS	11.265603	15.019424	10.515891	12.862666	13.808477	12.381957	11.851138	11.216071	9.984223	7.742581	6.062995	8.143651
ENSG00000175283.8	DOLK	6.653917	7.195803	6.630081	8.384665	8.29821	7.085048	8.533149	8.796073	8.380354	6.514354	4.887362	5.524193
ENSG00000175287.19	PHYHD1	0.036885	0	0.094798	0.02501	0	0.025561	0.12981	0	0	0.078358	0.076752	0.036111
ENSG00000175294.6	CATSPER1	0	0.01443	0	0	0	0	0.035966	0	0	0	0	0
ENSG00000175302.5	ANKRD30BP1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175305.18	CCNE2	4.199877	6.3048	4.251179	5.999057	4.3669	4.912407	7.081381	7.098187	7.405449	1.552398	0.728935	0.938269
ENSG00000175309.15	PHYKPL	13.188305	17.346673	15.621463	12.732274	13.902405	11.997378	13.29624	15.040517	15.565914	17.66527	15.78096	13.883841
ENSG00000175311.7	ANKS4B	0	0.015451	0.010041	0	0.00862	0	0	0	0	0	0	0
ENSG00000175315.3	CST6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175318.12	GRAMD2A	0.036967	0	0	0	0	0	0.014827	0	0.013127	0.045664	0	0.008765
ENSG00000175319.3	NF1P5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175322.12	ZNF519	3.407021	4.775982	4.285231	2.969104	4.672308	4.797537	3.258884	3.966306	3.394727	2.758569	2.670878	3.179241
ENSG00000175324.10	LSM1	30.061916	31.638746	27.297055	30.727336	28.526347	30.446574	35.622024	33.362623	29.522405	18.792385	15.997218	17.202636
ENSG00000175325.2	PROP1	0	0	0	0	0	0	0	0	0	0	0.013319	0
ENSG00000175329.13	ISX	0	0	0	0	0	0	0	0	0	0	0.013355	0
ENSG00000175334.8	BANF1	61.323701	61.278979	67.595668	74.702867	69.531686	67.105879	81.414234	83.478212	72.392118	70.187012	54.250954	65.323885
ENSG00000175336.10	APOF	0	0	0	0.008819	0	0	0	0	0	0	0	0.027841
ENSG00000175344.19	CHRNA7	0.619784	1.114456	0.851374	0.880953	0.377343	0.478032	0.951478	1.41291	0.850696	0.766312	0.7723	0.847491
ENSG00000175348.11	TMEM9B	9.458188	12.603531	13.51316	15.576514	9.534135	9.061067	12.67926	14.356957	13.651614	8.240866	6.643029	6.87094
ENSG00000175352.12	NRIP3	3.103223	8.920868	8.546846	8.458473	3.545301	2.834627	8.87486	7.867133	7.581465	4.371934	3.824793	4.305412
ENSG00000175354.20	PTPN2	22.061132	12.698531	11.496631	8.534223	18.032179	23.753143	11.943995	10.528599	13.203932	21.605938	21.952411	21.411608
ENSG00000175356.14	SCUBE2	0.141163	0.101186	0.036045	0.133787	0.083808	0.073559	0.155993	0.258344	0.281336	0.052066	0	0.034087
ENSG00000175376.9	EIF1AD	9.979149	10.034901	9.57859	11.843085	10.957633	9.955709	12.529592	13.737138	11.324625	8.761569	7.271077	6.663084
ENSG00000175387.16	SMAD2	7.214845	6.343998	5.616262	5.442667	7.613678	6.663739	4.759419	5.45773	5.824175	7.88466	8.121598	6.122591
ENSG00000175390.15	EIF3F	14.058983	15.349059	16.674992	15.9849	12.236188	13.068339	15.637015	15.837528	18.806148	13.894767	18.293412	13.42362
ENSG00000175395.16	ZNF25	1.694509	3.534822	4.159995	2.682696	1.63428	1.877718	2.188273	2.327276	2.048117	2.730195	3.612181	3.192262
ENSG00000175398.3	OR10P1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175414.7	ARL10	1.217702	0.974375	0.610801	0.406333	0.872279	0.26169	1.067735	0.640492	0.773659	0.438216	0.30132	0.52837
ENSG00000175416.16	CLTB	57.313671	75.053462	75.022252	75.493597	60.056534	56.562261	90.801271	89.29445	84.421296	46.309605	35.306443	42.028567
ENSG00000175426.11	PCSK1	0	0	0.003858	0.02635	0	0	0	0.009783	0.004847	0	0	0
ENSG00000175445.17	LPL	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175449.15	RFESD	0.903418	1.319249	1.806476	1.546025	0.863525	1.309419	1.266965	1.262834	1.593247	1.105386	1.348183	1.266615
ENSG00000175455.16	CCDC14	19.706251	28.888332	27.304961	25.078723	17.533144	19.823441	21.952251	22.584526	24.281422	18.571447	19.063083	18.685533
